,Unnamed: 0,address,zip_code,price,sell_date,sell_type,price_per_sqm,no_rooms,housing_type,size_in_sqm,year_of_construction,price_change_in_pct,latitude,longitude,sell_year
1255211,1255211,Bellahøj 13,9000 Aalborg,680000,1992-11-20,Alm. Salg,,4.0,Villa,118.0,1976.0,0.0,57.036753,9.961188,1992
1255212,1255212,"Jakob Skomager Vej 2, 1. TH",9000 Aalborg,615600,1992-11-16,Alm. Salg,5261.0,4.0,Lejlighed,117.0,1977.0,0.0,,,1992
1255213,1255213,"Enggårdsgade 58, 2. TV",9000 Aalborg,515000,1992-10-11,Alm. Salg,4478.0,4.0,Lejlighed,115.0,1966.0,0.0,,,1992
1255214,1255214,Myrensvej 2,9000 Aalborg,540000,1992-09-11,Alm. Salg,,5.0,Villa,130.0,1958.0,0.0,57.04655699999999,9.874542,1992
1255215,1255215,Nylandsvej 8B,9000 Aalborg,590917,1992-08-11,Alm. Salg,,3.0,Rækkehus,112.0,1983.0,0.0,57.026816,9.913765,1992
1255216,1255216,"Christiansgade 9, 2",9000 Aalborg,337000,1992-06-11,Alm. Salg,5349.0,2.0,Lejlighed,63.0,1900.0,0.0,,,1992
1255217,1255217,Ny Kærvej 5,9000 Aalborg,600000,1992-05-11,Alm. Salg,4285.0,6.0,Villa,140.0,1931.0,0.0,57.033121,9.915257,1992
1255218,1255218,"Malurtvej 23, 2. TH",9000 Aalborg,356431,1992-04-11,Alm. Salg,,3.0,Lejlighed,74.0,1971.0,0.0,,,1992
1255219,1255219,"Ærøgade 7, ST. TH",9000 Aalborg,280000,1992-03-11,Alm. Salg,4375.0,2.0,Lejlighed,64.0,1936.0,0.0,,,1992
1255220,1255220,Ingridsvej 23,9000 Aalborg,637000,1992-10-30,Alm. Salg,,7.0,Villa,168.0,1983.0,0.0,57.046451,9.887373,1992
1255221,1255221,"Blegdalsparken 41B, 1. TV",9000 Aalborg,445000,1992-10-29,Alm. Salg,4784.0,4.0,Lejlighed,93.0,1979.0,0.0,,,1992
