,Unnamed: 0,address,zip_code,price,sell_date,sell_type,price_per_sqm,no_rooms,housing_type,size_in_sqm,year_of_construction,price_change_in_pct,latitude,longitude,sell_year
645451,645451,Kongelysvej 12,5000 Odense C,655000,1992-06-19,Alm. Salg,5954.0,4.0,Villa,110.0,1954.0,0.0,55.410189,10.41474,1992
645452,645452,Døckerslundsvej 174,5000 Odense C,720000,1992-05-27,Fam. Salg,5106.0,4.0,Villa,141.0,1969.0,0.0,55.411164,10.42052,1992
645453,645453,Annasholmsgade 7,5000 Odense C,690000,1992-05-27,Alm. Salg,4569.0,5.0,Rækkehus,151.0,1908.0,0.0,55.406751,10.394781,1992
645454,645454,Gerthasminde 33,5000 Odense C,530000,1992-05-14,Alm. Salg,7162.0,3.0,Rækkehus,74.0,1924.0,0.0,55.392112,10.376487,1992
645455,645455,Dronning Olgas Vej 46,5000 Odense C,800000,1992-05-14,Fam. Salg,5517.0,6.0,Villa,145.0,1923.0,0.0,55.402908,10.362169,1992
645456,645456,"H. Rasmussens Vej 15, 2. TH",5000 Odense C,82393,1992-12-05,Alm. Salg,1471.0,2.0,Lejlighed,56.0,1938.0,0.0,,,1992
645457,645457,"Christiansgade 88, ST. TH",5000 Odense C,360000,1992-11-05,Alm. Salg,5217.0,2.0,Lejlighed,69.0,1938.0,0.0,,,1992
645458,645458,"Guldbergsvej 12, 2. TV",5000 Odense C,465000,1992-11-05,Alm. Salg,4946.0,4.0,Lejlighed,94.0,1929.0,0.0,,,1992
645459,645459,Ibsensvej 26,5000 Odense C,770000,1992-05-05,Alm. Salg,4812.0,6.0,Villa,160.0,1936.0,0.0,55.41462900000001,10.402251,1992
645460,645460,Victoriagade 30B,5000 Odense C,520000,1992-04-05,Alm. Salg,3333.0,5.0,Villa,156.0,1934.0,0.0,55.413374,10.390887,1992
645461,645461,Østerbro 78,5000 Odense C,510000,1992-04-05,Alm. Salg,4636.0,4.0,Villa,110.0,1947.0,0.0,55.400939,10.414489,1992
645462,645462,Sdr. Boulevard 52D,5000 Odense C,454000,1992-04-05,Alm. Salg,8254.0,2.0,Lejlighed,55.0,1988.0,0.0,,,1992
645463,645463,Ærøgade 12,5000 Odense C,744000,1992-01-05,Alm. Salg,5723.0,3.0,Villa,130.0,1932.0,0.0,55.416352,10.395069,1992
